"filename", "language", "JSON", "HTML", "TypeScript", "JavaScript", "JSON with Comments", "YAML", "Markdown", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommands/StopCommandDto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/AddTrackParams.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/AddTrackResult.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/CopyTrackParams.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/CopyTrackResult.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/GetTrackParams.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/GetTrackRawParams.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/GetTrackRawResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/GetTrackResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/RawTrack.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/RemoveTrackParams.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/RemoveTrackResult.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/UpdateTrackParams.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Tracks/UpdateTrackResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/EventBus.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Events.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/AudioPlaybackCacheContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 7, 36
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/EventBusContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 5, 4, 28
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/RegionSetsContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 10, 11, 103
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/SelectedTrackContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 7, 37
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/TracksContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 10, 9, 94
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/UsePlaybackCache.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/UseSelectedTrack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Providers/UseTracks.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Services/AuthService.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 19, 13, 72
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Services/RegionSetsService.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 17, 96
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Services/RegionsService.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 9, 65
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Services/TracksService.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 9, 29, 170
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Utils/AudioUtils.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Websocket/MessageService.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 5, 22, 74
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Websocket/Websocket.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 17, 6, 57
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Websocket/WebsocketController.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 26, 151
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/app-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 3, 12, 186
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/copy-track-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 9, 56
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/create-region-set-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 1, 13, 84
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/create-track-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 7, 26, 203
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 11, 55, 317
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/details-track-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 1, 10, 89
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 63
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/nav-main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 9, 122
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/nav-projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/nav-user.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 5, 115
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/rename-track-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 9, 57
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/team-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 90
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/track-context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 34
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 11, 110
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 1, 6, 61
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 10, 93
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 34
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 18, 251
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 13, 142
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 18, 256
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 14, 140
